,username,tweet4original
5775,albertocairo,"To learn more about the goals of this project, read this article: https://t.co/hn2x9F4p7b #dataviz #infographics?€? https://t.co/rn3WPGpNuU"
5781,tarajcarman,Logged into pgm I haven't used for a bit &amp; found cool map I made but didn't publish. #datajournalism equivalent of finding $1 in the couch.
5786,sarahemilywild,"Data will not fix SA?€?s problems, in the same way data journalism will not save journalism. It makes it worse. https://t.co/Df7JUCCuko"
5787,harrisj,Where does data journalism come from? It has to be damp?€? https://t.co/NdCjtaWCcQ
5789,albertocairo,Gelman @StatModeling shares some thoughts about #dataJournalism #ddj: https://t.co/jKSlk0NuB6 (read the comments. I?€? https://t.co/jXyuMCVH4t
5791,edmundtadros,"Get excited, my article about data and journalism. Two of my favourite things. https://t.co/XNtVeTh2Qd"
5794,seanrobinsonTNT,"The big problem with Big Data in journalism is the tendency to use it for arguments of inevitability. Odds, however great, are not the news."
5795,Agenzia_Italia,"= #DataJournalism = 
#Fumo, sono cresciuti i consumi tra gli studenti  https://t.co/FZbBzRNJz7"
5797,OReillyMedia,".@denormalize discusses data preservation, bringing cutting-edge technology to journalism, &amp; saving the world https://t.co/NKlj45cd3A"
5798,rohanjay,"Good advice from @kcorrick at #ddjunconf - better for #datajournalism to understand statistics first, as much as data crunching"
5800,vanessafranko,@annieanyway A NEW data journalism chapter!
5803,tableaupublic,#DataJournalism: @LNdata's post on their #dataviz workflow has been shared by @gijn Congrats @gabybouret @MarianTV! https://t.co/m7iBg90Wr8
5805,zubakskees,"New AP data journalism guidelines also recommend reproducing data analysis, republishing data, include guidance on scraping"
5808,zubakskees,"Don?€?t wait, apply today. https://t.co/1ez3zpFh6Y"
5809,lachlan,@DavidRutz finally some non-skewed data journalism
5811,robroc,"Way to go, @juruwolfe, shortrlisted for best data journalism portfolio. https://t.co/7qnUsjo3pZ"
5814,rohanjay,"It's the #ddjunconf today, and to be data source accurate, it's 59 of the greatest #datajournalism minds gathering,?€? https://t.co/49hdhLJy96"
5815,MontyDavisKC,@cronkb Free training. Can't beat that. https://t.co/m1b0R4sI8S
5816,albertocairo,OHHHHHH! #dataviz #infographics #ddj #dataJournalism #dataVisualization https://t.co/hK1BpFYEqm
5818,jennagiesta,Whole discussion reminding me of a convo I had once where a journalist told me polls aren't data journalism. My jaw dropped. #AAPOR
5819,conorduffynews,Data journalism from the @washingtonpost claims Pres Trump has made 586 false and misleading statements in office https://t.co/CoB2kwbL2M
5821,NPCPresident,#journalism https://t.co/X3fBcRpjvZ
5823,marklittlenews,Fascinating.  https://t.co/DWi3sHzzgv
5824,Agenzia_Italia,Da 45 anni la Terra si sta consumando. Per colpa nostra  https://t.co/gl3MyxRlFg
5825,kylisingh,New tool from Google helps you to visualize data using GIFs ?€?&gt; https://t.co/jVbuvcdX5k
5828,sluggahjells,"My school COM actually doing something of good, instead of being around weird Fixed News figures: https://t.co/PW61dFPcUi"
